Step    Difference (d^t)
10      1.846731e-05
70      9.809254e-05
180     2.210309e-04
280     3.133362e-04
290     3.210446e-04
340     3.636923e-04
450     4.604867e-04
540     5.398622e-04
580     5.778262e-04
590     5.895221e-04
660     6.650040e-04
670     6.759477e-04
720     7.241569e-04
730     7.337999e-04
740     7.443424e-04
900     9.215194e-04
910     9.309183e-04
920     9.413493e-04
970     9.891521e-04
1110    1.127542e-03
1180    1.208866e-03
1240    1.269523e-03
1250    1.280610e-03
1310    1.347016e-03
1420    1.458518e-03
1510    1.550974e-03
1520    1.559451e-03
1570    1.606126e-03
1580    1.618371e-03
1670    1.718448e-03
1680    1.728921e-03
1700    1.751965e-03
1710    1.763399e-03
1720    1.773772e-03
1800    1.862309e-03
1870    1.939196e-03
1960    2.033798e-03
2030    2.102196e-03
2100    2.174473e-03
2110    2.185460e-03
2140    2.216059e-03
2220    2.297268e-03
2370    2.450530e-03
2460    2.562923e-03
2600    2.731917e-03
2690    2.832428e-03
2750    2.892774e-03
2790    2.930825e-03
2810    2.951232e-03
2820    2.962710e-03
2930    3.063464e-03
2940    3.073330e-03
3090    3.230550e-03
3100    3.241044e-03
3140    3.284610e-03
3210    3.367081e-03
3280    3.445797e-03
3290    3.456469e-03
3390    3.566546e-03
3400    3.576691e-03
3410    3.584588e-03
3640    3.822403e-03
3650    3.833076e-03
3660    3.845244e-03
3840    4.035253e-03
3850    4.046505e-03
3880    4.075309e-03
3890    4.084993e-03
3900    4.094322e-03
4030    4.238668e-03
4130    4.344406e-03
4190    4.410290e-03
4310    4.550654e-03
4320    4.562218e-03
4390    4.640616e-03
4440    4.694310e-03
4450    4.704011e-03
4490    4.749743e-03
4550    4.824411e-03
4600    4.876107e-03
4680    4.962735e-03
4740    5.036640e-03
4790    5.096398e-03
4850    5.175623e-03
4950    5.296125e-03
5000    5.348959e-03
5010    5.357885e-03
5020    5.369712e-03
5070    5.426283e-03
5080    5.440158e-03
5120    5.486065e-03
5160    5.531436e-03
5210    5.581327e-03
5360    5.745395e-03
5370    5.756919e-03
5380    5.767065e-03
5390    5.777039e-03
5590    6.002460e-03
5600    6.013260e-03
5610    6.026283e-03
5620    6.037825e-03
5650    6.072960e-03
5660    6.083807e-03
5730    6.160904e-03
5790    6.224102e-03
5800    6.236380e-03
5810    6.247287e-03
5820    6.257309e-03
5930    6.377755e-03
5940    6.388401e-03
5950    6.398586e-03
5960    6.410176e-03
6040    6.495889e-03
6050    6.507282e-03
6060    6.519189e-03
6070    6.532539e-03
6080    6.544168e-03
6200    6.681236e-03
6360    6.859273e-03
6370    6.869017e-03
6470    6.974099e-03
6530    7.042611e-03
6570    7.094638e-03
6580    7.105511e-03
6600    7.128263e-03
6690    7.234897e-03
6700    7.247242e-03
6710    7.260498e-03
6720    7.273301e-03
6870    7.454731e-03
6930    7.519867e-03
6940    7.530368e-03
6950    7.540848e-03
6960    7.552676e-03
6970    7.563637e-03
7160    7.778706e-03
7170    7.791289e-03
7180    7.801934e-03
7190    7.811649e-03
7270    7.907270e-03
7320    7.962114e-03
7350    7.994806e-03
7400    8.057536e-03
7410    8.070153e-03
7460    8.128327e-03
7530    8.201749e-03
7610    8.289533e-03
7620    8.302281e-03
7670    8.359394e-03
7740    8.440094e-03
7750    8.453689e-03
7950    8.674269e-03
7960    8.684697e-03
8140    8.878214e-03
8240    8.989592e-03
8250    8.999703e-03
8260    9.010535e-03
8380    9.144922e-03
8410    9.181271e-03
8420    9.193930e-03
8430    9.207310e-03
8440    9.218191e-03
8450    9.230788e-03
8530    9.324378e-03
8540    9.334540e-03
8550    9.345171e-03
8770    9.579569e-03
8800    9.611943e-03
8830    9.644334e-03
8890    9.706986e-03
8980    9.800553e-03
8990    9.811014e-03
9000    9.821054e-03
9010    9.830843e-03
9180    1.002163e-02
9320    1.018480e-02
9380    1.025186e-02
9440    1.031105e-02
9500    1.036554e-02
9510    1.037583e-02
9520    1.038484e-02
9530    1.039615e-02
9540    1.040636e-02
9550    1.041746e-02
9560    1.042715e-02
9580    1.044335e-02
9610    1.047086e-02
9620    1.048064e-02
9630    1.048985e-02
9730    1.060064e-02
9750    1.062372e-02
9830    1.072739e-02
9950    1.086227e-02
